date, pm25, pm10, o3, no2, so2, co
2023/11/1, 27, 20, 57, 12, 1, 3
2023/11/2, 48, 24, 44, 12, , 3
2023/11/3, 62, 27, 53, 11, , 3
2023/11/4, 65, 21, 41, 13, 1, 3
2023/11/5, 62, 24, 53, 11, 1, 3
2023/11/6, 56, 27, 38, 8, 1, 3
2023/11/7, 52, 30, 52, 15, 1, 4
2023/11/8, 62, 29, 43, 12, 1, 3
2023/11/9, 66, 26, 34, 10, , 3
2023/11/10, 57, 12, 30, 6, , 2
2023/11/11, 33, 7, 31, 5, , 1
2023/11/12, 29, 21, 33, 7, , 2
2023/11/13, 50, 10, 30, 12, 1, 2
2023/11/14, 27, 7, 31, 7, 1, 2
2023/11/15, 16, 16, 32, 10, 1, 3
2023/11/16, 43, 34, 38, 8, 2, 3
2023/11/17, 60, 46, 42, 7, 2, 2
2023/11/18, 63, 19, 36, 8, 1, 2
2023/11/19, 44, 14, 33, 9, 1, 2
2023/11/20, 35, 17, 34, 12, , 2
2023/11/21, 38, 23, 51, 18, 1, 4
2023/11/22, 57, 22, 39, 15, 1, 3
2023/11/23, 55, 43, 49, 8, 1, 3
2023/11/24, 79, 19, 33, 6, , 1
2023/11/25, 39, 12, 31, 6, 1, 1
2023/11/26, 31, 21, 36, 11, 1, 2
2023/11/27, 48, 34, 41, 9, 1, 2
2023/11/28, 62, 34, 34, 13, , 3
2023/11/29, 63, 28, 34, 12, 1, 3
2023/11/30, 65, 13, 31, 7, 1, 2
2023/12/1, 41, 14, 28, 8, 1, 2
2023/12/2, 47, 8, 30, 8, 1, 2
2023/12/3, 40, 6, 23, 12, 1, 3
2023/12/4, 20, 14, 25, 12, , 3
2023/12/5, 40, 22, 22, 19, 1, 5
2023/12/6, 67, 33, 41, 13, 1, 3
2023/12/7, 65, 38, 54, 17, 2, 5
2023/12/8, 79, 39, 66, 17, 1, 5
2023/12/9, 93, 32, 37, 12, 1, 3
2023/12/10, 79, 25, 21, 18, , 5
2023/12/11, 66, 15, 26, 11, , 3
2023/12/12, 44, 10, 28, 12, 1, 4
2023/12/13, 31, 17, 41, 14, , 4
2023/12/14, 51, 20, 35, 18, 1, 4
2023/12/15, 61, 16, 23, 9, 1, 4
2023/12/16, 40, 13, 26, 5, 1, 3
2023/12/17, 43, 13, 26, 12, 1, 3
2023/12/18, 32, 14, 19, 12, , 3
2023/12/19, 36, 8, 30, 7, 1, 2
2023/12/20, 29, 24, 31, 6, 1, 3
2023/12/21, 60, 27, 27, 7, 2, 2
2023/12/22, 61, 7, 26, 7, , 2
2023/12/23, 26, 18, 29, 6, 2, 2
2023/12/24, 45, 32, 35, 8, 2, 3
2023/12/25, 63, 26, 28, 18, 1, 4
2023/12/26, 63, 27, 28, 17, 1, 4
2023/12/27, 63, 22, 25, 15, , 4
2023/12/28, 55, 22, 33, 8, 1, 2
2023/12/29, 54, 27, 30, 13, 1, 4
2023/12/30, 67, 30, 48, 9, 1, 3
2023/12/31, 72, 40, 37, 7, 2, 4
2023/7/1, 27, 15, 27, 7, 1, 1
2023/7/2, 34, 15, 26, 7, 1, 1
2023/7/3, 25, 13, 22, 6, 1, 1
2023/7/4, 18, 13, 22, 5, , 1
2023/7/5, 21, 14, 17, 5, , 1
2023/7/6, 15, 17, 18, 5, , 1
2023/7/7, 27, 22, 21, 5, 1, 1
2023/7/8, 56, 18, 19, 7, 1, 1
2023/7/9, 39, 13, 21, 7, 1, 1
2023/7/10, 21, 12, 17, 9, 1, 1
2023/7/11, 19, 12, 21, 8, , 1
2023/7/12, 15, 14, 27, 6, , 1
2023/7/13, 22, 14, 27, 7, , 1
2023/7/14, 27, 19, 37, 6, 1, 1
2023/7/15, 35, 23, 52, 8, 1, 2
2023/7/16, 50, 16, 32, 8, , 2
2023/7/17, 25, 15, 27, 12, , 2
2023/7/18, 24, 14, 33, 8, , 1
2023/7/19, 20, 12, 26, 6, , 1
